Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
Psychological Review,A*,American Psychological Association,0033-295X,1939-1471,1894,3507
Psychological Science,A*,Sage Publications,0956-7976,1467-9280,1990,3507
Psychology & Marketing,A,Wiley-Blackwell Publishing,0742-6046,1520-6793,1984,3506
Psychology of Women Quarterly,A,Sage Publications,0361-6843,1471-6402,1976,3507
Public Administration and Development,A,Wiley-Blackwell Publishing,0271-2075,1099-162X,1949,3599
Public Administration Quarterly,A,Southern Public Administration Education Foundation Inc,0734-9149,2327-4433,1977,3599
Public Administration Review,A,Wiley-Blackwell Publishing,0033-3352,1540-6210,1940,3599
Public Administration: an international journal,A,Wiley-Blackwell Publishing,0033-3298,1467-9299,1922,3599
Public Budgeting & Finance,C,Wiley-Blackwell Publishing,0275-1100,1540-5850,1981,3801
Public Choice,A,Springer International Publishing,0048-5829,1573-7101,1968,3801
Public Finance Analysis / FinanzArchiv,B,Mohr Siebeck Verlag,0015-2218,1614-0974,1884,3502
Public Finance and Management,B,Southern Public Administration Education Foundation Inc.,1523-9721,,2001,3502
Public Finance Review,B,Sage Publications,1091-1421,1552-7530,1973,3801
Public Law: the constitutional and administrative law of the Commonwealth,A,Sweet & Maxwell,0033-3565,,1956,4801
Public Management Review,A,Taylor & Francis Online,1471-9037,1471-9045,1999,3507
Public Money & Management,B,Taylor & Francis Online,0954-0962,1467-9302,1981,3507
Public Opinion Quarterly,A,Oxford University Press,0033-362X,1537-5331,1937,3599
Public Performance & Management Review,B,Taylor & Francis Online,1530-9576,1557-9271,1975,3507
Public Personnel Management,B,Sage Publications,0091-0260,1945-7421,1972,3507
Public Policy and Administration,B,Sage Publications,0952-0767,1749-4192,1986,3599
Public Policy Research,C,Wiley-Blackwell Publishing,1744-5396,,,3899
Public Relations Inquiry,B,Sage Publications,2046-147X,2046-1488,2012,3506
Public Relations Review,A,Elsevier,0363-8111,1873-4537,1975,3506
Publishing Research Quarterly,C,Springer International Publishing,1053-8801,1936-4792,1985,3599
Qualitative Market Research: an international journal,B,Emerald Group Publishing,1352-2752,1758-7646,1998,3506
Qualitative Research in Accounting and Management,A,Emerald Group Publishing,1176-6093,1758-7654,2004,3501
Qualitative Research in Financial Markets,B,Emerald Group Publishing,1755-4179,1755-4187,2009,3502
Qualitative Research in Organizations and Management,B,Emerald Group Publishing,1746-5648,1746-5656,2006,3507
Quality & Quantity,B,Springer International Publishing,0033-5177,1573-7845,1967,3599
Quality Management Journal,B,Taylor & Francis Online,1068-6967,2575-6222,1993,3509
Quality of Life Research,A,Springer International Publishing,0962-9343,1573-2649,1992,3599
Quantitative Economics,A*,Wiley-Blackwell Publishing,1759-7323,1759-7331,2010,3802
Quantitative Finance,A,Taylor & Francis Online,1469-7688,1469-7696,2001,3502
Quantitative Marketing and Economics,A,Springer International Publishing,1570-7156,1573-711X,2003,3506
Quarterly Journal of Experimental Psychology,A,Taylor & Francis Online,1747-0218,1747-0226,1948,3507
Quarterly Journal of Finance,A,World Scientific Publishing,2010-1392,2010-1406,,3502
Quarterly Journal of Finance and Accounting,B,Creighton University,0747-5535,,1962,3501
Quarterly Journal of Political Science,B,Now Publishers,1554-0626,1554-0634,2006,3599
Quarterly Review of Economics and Finance,B,Elsevier,1062-9769,1878-4259,1993,3801
Queensland Review,C,Cambridge University Press,1321-8166,,1994,3599
Quest,C,Taylor & Francis Online,0033-6297,1543-2750,1963,3504
QUT Law Review,C,Queensland University of Technology,1445-6230,1445-6249,1985,4801
R&D Management,A,Wiley-Blackwell Publishing,0033-6807,1467-9310,1970,3507
RAND Journal of Economics,A*,Wiley-Blackwell Publishing,0741-6261,1756-2171,1970,3801
Rationality and Society,B,Sage Publications,1043-4631,1461-7358,,3599
Reading in Political Economy,C,,0305-814X,0079-9874,1967,3801
Real Estate Economics,A,Wiley-Blackwell Publishing,1080-8620,1540-6229,1973,3502
Real Estate Law Journal,C,"Warren, Gorham & Lamont",0048-6868,,1972,4801
Real Estate Taxation,C,Thomson Reuters,1538-3792,,1973,4801
"Real Property, Trust and Estate Law Journal",C,American Bar Association,0034-0855,1540-8469,1966,4801
Recherches Economiques de Louvain,B,De Boeck Superior,0770-4518,1782-1495,1929,3801
Records Management Journal,C,Emerald Group Publishing,0956-5698,,1989,4609
Reflets et Perspectives de la Vie Economique,C,De Boeck Superior,0034-2971,1782-1509,1961,3801
Regional Science and Urban Economics,A,Elsevier,0166-0462,1879-2308,1971,3801
Regional Studies,A*,Taylor & Francis Online,0034-3404,1360-0591,1967,3599
"Regional Studies, Regional Science",A,Taylor & Francis Online,,2168-1376,2014,3599
Regulation and Governance,A,Wiley-Blackwell Publishing,,1748-5991,2007,4801
Relations Industrielles/Industrial Relations,B,"Industrial Relations Department, Universite Laval",0034-379X,1703-8138,1945,3505
Reliability Engineering & System Safety,A,Elsevier,0951-8320,1879-0836,1980,3505
Research Evaluation,C,Oxford University Press,0958-2029,1471-5449,1991,3507
Research in Accounting in Emerging Economies,C,Emerald Group Publishing,1479-3563,,2003,3501
Research in Accounting Regulation,B,Elsevier,1052-0457,,1987,3501
Research in Consumer Behavior: a research annual,C,Emerald Group Publishing,0885-2111,,1985,3506
Research in Economics,B,Elsevier,1090-9443,1090-9451,1947,3801
Research in Experimental Economics,B,Emerald Group Publishing,0193-2306,1875-7537,1993,3801
Research in Finance,C,Elsevier,0196-3821,0882-3138,1983,3502
Research in Financial Services,C,Elsevier,1052-7788,,1989,3502
Research in Governmental and Non-Profit Accounting,B,Elsevier,0884-0741,,1985,3501
Research in International Business and Finance,B,Elsevier,0275-5319,1878-3384,1987,3502
Research in Organizational Behavior,A,Elsevier,0191-3085,,1979,3507
Research in the History of Economic Thought and Methodology,C,Emerald Group Publishing,0743-4154,,1983,3801
Research in the Sociology of Organizations,A,Emerald Group Publishing,0733-558X,,1982,3507
Research in Transportation Business & Management,C,Elsevier,2210-5395,,2011,3509
Research in Transportation Economics,B,Elsevier,0739-8859,1875-7979,1994,3509
Research on Professional Responsibility and Ethics in Accounting,B,Emerald Group Publishing,1574-0765,,1995,3501
Research Policy,A*,Elsevier,0048-7333,1873-7625,1971,3507
Research-Technology Management,A,Taylor & Francis Online,0895-6308,1930-0166,1958,3507
Resource and Energy Economics,A,Elsevier,0928-7655,,1978,3801
Resources Policy,B,Elsevier,0301-4207,1873-7641,1974,3801
Restitution Law Review,A,Marenex Press,1351-170X,,1993,4801
Rethinking Marxism,C,Taylor & Francis Online,0893-5696,1475-8059,1988,3899
Revenue Law Journal,B,Bond Faculty of Law Review Editorial Committee,1034-7747,2202-4859,1990,4801
Review of Accounting and Finance,B,Emerald Group Publishing,1475-7702,1758-7700,2002,3501
Review of Accounting Studies,A*,Springer International Publishing,1380-6653,1573-7136,1996,3501
Review of African Political Economy,C,Taylor & Francis Online,0305-6244,1740-1720,1974,3801
Review of Asset Pricing Studies,A*,Oxford University Press,2045-9920,2045-9939,2011,3502
Review of Behavioral Economics,B,Now Publishers,2326-6198,2326-6201,2014,3801
Review of Behavioral Finance,B,Emerald Group Publishing Limited,1940-5979,1940-5987,2009,3502
Review of Business Information Systems,C,The Clute Institute,,2157-9547‎,1997,4609
Review of Corporate Finance Studies,A*,Oxford University Press,2046-9128,2046-9136,2012,3502
Review of Derivatives Research,B,Springer International Publishing,1380-6645,1573-7144,1996,3502
Review of Development Economics,B,Wiley-Blackwell Publishing,1363-6669,1467-9361,1997,3801
Review of Economic Analysis,B,Rimini Centre for Economic Analysis,1973-3909,,2009,3801
Review of Economic and Business Studies,C,Sciendo,1843-763X,2068-7249,2008,3801
Review of Economic Design,B,Springer International Publishing,1434-4742,1434-4750,1994,3801
Review of Economic Dynamics,A*,Elsevier,1094-2025,1096-6099,1998,3801
Review of Economics (Jahrbuch fur Wirtschaftswissenschaften),C,De Gruyter,,2366-035X,1950,3801
Review of Economics of the Household,A,Springer International Publishing,1569-5239,1573-7152,2003,3801
Review of Environmental Economics and Policy,A,Oxford University Press,1750-6816,1750-6824,2007,3801
Review of Finance,A*,Oxford University Press,1572-3097,1573-692X,2004,3502
Review of Financial Economics,B,Wiley-Blackwell Publishing,1058-3300,1873-5924,1972,3502
Review of Futures Markets,B,"Kent State University, Ohio",1933-7116,,,3502
Review of Income and Wealth,A,Wiley-Blackwell Publishing,,1475-4991,1966,3801
Review of Industrial Organization,A,Springer International Publishing,0889-938X,1573-7160,1984,3801
Review of International Business and Strategy,C,Emerald Group Publishing,2059-6014,,1991,3507
Review of International Economics,A,Wiley-Blackwell Publishing,0965-7576,1467-9396,1992,3801
Review of International Organizations,C,Springer International Publishing,1559-7431,1559-744X,2006,3507
Review of International Political Economy,A,Taylor & Francis Online,0969-2290,1466-4526,1994,3801
Review of International Studies,B,Cambridge University Press,0260-2105,1469-9044,1975,3599
Review of Islamic Economics,C,International Association of Islamic Economics and the Islamic Foundation,0962-2055,,1991,3801
Review of Keynesian Economics,C,Edward Elgar Publishing,2049-5323,2049-5331,2012,3801
Review of Law & Economics,B,De Gruyter,2194-6000,1555-5879,2005,3801
Review of Marketing and Agricultural Economics,C,Australian Agricultural Economics Society,0034-6616,0034-3409,1933,3899
Review of Marketing Science,C,De Gruyter,2194-5985,1546-5616,2003,3506
Review of Middle East Economics and Finance,C,De Gruyter,1475-3685,1475-3693,2003,3801
Review of Pacific Basin Financial Markets and Policies,B,World Scientific Publishing,0219-0915,1793-6705,1998,3502
Review of Political Economy,B,Taylor & Francis Online,0953-8259,1465-3982,1989,3801
Review of Public Personnel Administration,B,Sage Publications,0734-371X,1552-759X,1980,3505
Review of Quantitative Finance and Accounting,B,Springer International Publishing,0924-865X,1573-7179,1991,3502
Review of Radical Political Economics,B,Sage Publications,0486-6134,1552-8502,1969,3801
Review of Regional Studies,C,Southern Regional Science Association,1553-0892,0048-749X,1970,3599
Review of Social Economy,B,Taylor & Francis Online,0034-6764,1470-1162,1942,3801
Review of the Economic Research on Copyright Issues,B,Society for Economic Research on Copyright Issues,1698-1359,1698-1367,2004,4801
Review of Urban & Regional Development Studies,B,Wiley-Blackwell Publishing,0917-0553,1467-940X,1989,3801
Review of World Economics,B,Springer International Publishing,1610-2878,1610-2886,1913,3801
Review on Economic Cycles,C,The International Association of Economic Cycles,1578-8091,,2000,3801
Revista de Economia,C,Universidade Federal do Parana,0556-5782,2316-9397,1960,3803
Revista Portuguesa de Marketing,C,IPAM Lab,0873-2949,,1995,3506
Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales,B,Centre national de la recherche scientifique,0338-0599,2259-6100,1970,3801
Revue de l'OFCE,C,CAIRN International,1265-9576,1777-5647,1982,3801
Richmond Journal of Global Law and Business,C,University of Richmond,1933-7000,,1998,4801
Rikkyo Economic Review,C,Economic Society of Rikkyo University,0035-5356,,1938,3801
Risk Management,C,Springer International Publishing,1460-3799,1743-4637,1999,3507
Risk Management and Insurance Review,C,Wiley-Blackwell Publishing,1098-1616,1540-6296,1997,3502
"Risk, Decision and Policy",B,Taylor & Francis Online,1357-5309,,1996,3599
Risks,B,MDPI,2227-9091,,2013,3502
Romanian Economic Business Review,C,Romanian-American University,1842-2497,2344-4843,2006,3899
Romanian Journal of Economic Forecasting,C,Institute for Economic Forecasting (IEF),1582-6163,2537-6071,2000,3802
Rutgers Business Law Review,C,Rutgers University,1937-0563,1937-0571,2006,4801
Rutgers Business Review,B,Rutgers Business School,2474-2376,2474-6509,2016,3507
Rutgers Computer and Technology Law Journal,B,Rutgers Law School,0735-8938,,1970,4801
Safety Science,A,Elsevier,0925-7535,,1991,3505
Scandinavian Actuarial Journal,A,Taylor & Francis Online,0346-1238,1651-2030,1918,3502
Scandinavian Economic History Review,C,Taylor & Francis Online,0358-5522,1750-2837,1900,3801
Scandinavian Journal of Economics,A,Wiley-Blackwell Publishing,0347-0520,1467-9442,1899,3801
Scandinavian Journal of Hospitality and Tourism,A,Taylor & Francis Online,1502-2250,1502-2269,2001,3508
Scandinavian Journal of Information Systems,A,University of Aalborg,0905-0167,,1989,4609
Scandinavian Journal of Management,B,Elsevier,0956-5221,1873-3387,1984,3507
Scandinavian Journal of Statistics,A,Wiley-Blackwell Publishing,,1467-9469,1974,4905
Science & Society,B,"S&S Quarterly, Inc.",0036-8237,,1936,3801
Science and Public Policy,C,Oxford University Press,0302-3427,1471-5430,1974,3599
Science Communication,A,Sage Publications,1075-5470,1552-8545,1994,3599
"Science, Technology and Society",B,Sage Publications,0971-7218,0973-0796,1996,4609
"Science, Technology, & Human Values",A,Sage Publications,0162-2439,1552-8251,1976,3503
Scientometrics,A,Springer International Publishing,0138-9130,1588-2861,1979,3599
Scottish Journal of Political Economy,A,Wiley-Blackwell Publishing,0036-9292,1467-9485,1954,3801
Security Dialogue,A,Sage Publications,0967-0106,1460-3640,1970,3599
Security Studies,B,Taylor & Francis Online,0963-6412,1556-1852,1991,3599
Selection and Development Review,C,British Psychological Society,0963-2638,0963-2638,1984,3505
Seoul Journal of Business,C,Seoul National University,1226-9816,1226-9816,1995,3507
SERIEs: Journal of the Spanish Economic Association,B,Springer International Publishing,1869-4187,1869-4195,2010,3801
Service Business,B,Springer International Publishing,1862-8516,1862-8508,2007,3506
Service Industries Journal,B,Taylor & Francis Online,0264-2069,1743-9507,1983,3506
Service Science,B,INFORMS,2164-3970,,2006,3507
Services Marketing Quarterly,B,Taylor & Francis Online,1533-2969,1533-2977,2001,3506
Sex Roles,A,Springer International Publishing,0360-0025,1573-2762,1975,3507
SIAM Journal on Applied Mathematics,A,SIAM Publications Online,0036-1399,1095-712X,1953,3502
SIAM Journal on Computing,C,SIAM Publications Online,0097-5397,1095-7111,1972,4609
SIAM Journal on Financial Mathematics,B,Society for Industrial and Applied Mathematics,,1945-497X,2010,3502
Singapore Academy of Law Journal,C,Singapore Academy of Law,0218-2009,,1989,4801
Singapore Economic Review,B,World Scientific Publishing,0217-5908,1793-6837,1956,3801
Singapore Journal of Legal Studies,A,National University of Singapore,0218-2173,,1959,4801
Small Business Economics,A,Springer International Publishing,0921-898X,1573-0913,1989,3507
Small Enterprise Research,C,Taylor & Francis Online,1321-5906,1175-0979,1992,3507
Small Group Research,A,Sage Publications,1046-4964,1552-8278,1969,3507
Smart and Sustainable Built Environment,C,Emerald Group Publishing Ltd,2046-6099,2046-6102,2012,3504
Soccer & Society,C,Taylor & Francis Online,1466-0970,1743-9590,2000,3504
Social and Economic Studies,C,"Sir Arthur Lewis Institute of Social and Economic Studies, The University of the West Indies",0037-7651,,1953,3801
Social and Environmental Accountability Journal,B,Taylor & Francis Online,0969-160X,2156-2245,1982,3501
Social Business: An Interdisiplinary Journal,B,Westburn Publishers Ltd,2044-4087,2044-9860,2011,3599
Social Choice and Welfare,A,Springer International Publishing,0176-1714,1432-217X,1984,3801
Social Enterprise Journal,C,Emerald Group Publishing,1750-8614,1750-8533,2005,3507
Social Forces,A,Oxford University Press,0037-7732,1534-7605,1925,3507
Social Indicators Research,A,Springer International Publishing,0303-8300,1573-0921,1974,3599
Social Justice Research,B,Springer International Publishing,0885-7466,1573-6725,1987,3599
Social Marketing Quarterly,B,Sage Publications,1524-5004,1539-4093,1993,3506
Social Policy & Administration,A,Wiley-Blackwell Publishing,0144-5596,1467-9515,1967,3599
Social Problems,A,Oxford University Press,0037-7791,1533-8533,1953,3507
Social Psychological and Personality Science,B,Sage Publications,1948-5506,1948-5514,2010,3507
Social Responsibility Journal,B,Emerald Group Publishing,1747-1117,1758-857X,2005,3501
Social Science Information,C,Sage Publications,0539-0184,1461-7412,1961,3507
Social Science Japan Journal,C,Oxford University Press,1369-1465,1468-2680,1998,3599
Social Science Quarterly,B,Wiley-Blackwell Publishing,0038-4941,1540-6237,1920,3599
Social Service Review,B,The University of Chicago Press,0037-7961,1537-5404,1927,3507
Society and Business Review,B,Emerald Group Publishing,1746-5680,1746-5699,2006,3507
Society and Economy in Central and Eastern Europe,C,Akademiai Kiado,1588-9726,1588-970X,1979,3801
SocioEconomic Challenges,C,Sumy State University,2520-6621,2520-6214,2017,3801
Socio-Economic Planning Sciences,C,Elsevier,0038-0121,1873-6041,1967,3899
Socio-Economic Review,A,Oxford University Press,1475-1461,1475-147X,2003,3801
Sociological Inquiry,A,Wiley-Blackwell Publishing,,1475-682X,1930,3507
Sociological Methodology,A,Sage Publications,0081-1750,1467-9531,1969,3507
Sociological Methods & Research,A,Sage Publications,0049-1241,1552-8294,1972,3507
Sociological Theory,A,American Sociological Association,0735-2751,1467-9558,1983,3507
Sociologie du Travail,B,Elsevier,0038-0296,1777-5701,1959,3505
Sociology,A*,Sage Publications,0038-0385,1469-8684,1967,3507
Sociology of Sport Journal,A,"Human Kinetics Publishers, Inc.",0741-1235,1543-2785,1984,3504
South African Journal of Accounting Research,C,Routledge,1029-1954,,1987,3501
South African Journal of Business Management,C,African Online Scientific Information Systems,2078-5585,,1969,3507
South African Journal of Economic and Management Sciences,C,AOSIS,1015-8812,2222-3436,1988,3801
South African Journal of Economics,B,Wiley-Blackwell Publishing,0038-2280,1813-6982,1925,3801
South African Statistical Journal,B,South African Statiscal Association,0038-271X,,1967,3502
South Asia Economic Journal,C,Sage Publications,1391-5614,0973-077X,2000,3801
South Asian Journal of Business Studies,C,Emerald Group Publishing,2398-628X,2398-6298,2012,3507
South Asian Journal of Human Resources Management,C,Sage Publications,2322-0937,2349-5790,2014,3505
South Asian Journal of Macroeconomics and Public Finance,C,Sage Publications,2277-9787,2321-0273,2012,3801
South Asian Journal of Management,C,Association of Management Development Institutions in South Asia (AMDISA),0971-5428,,1994,3507
South Carolina Journal of International Law and Business,C,University of South Carolina,1936-4334,,2006,4801
Southern Business and Economic Journal,C,Auburn Montgomery College of Business,0735-2476,,1977,3801
Southern Economic Journal,A,Wiley-Blackwell Publishing,0038-4038,2325-8012,1933,3801
Spanish Accounting Review / Revista de Contabilidad,B,ASEPUC (Associacion Espanola de Profesores Universitarios de Contabilidad),1138-4891,,1997,3501
Spanish Economic Review,B,Springer International Publishing,1435-5469,1435-5477,1971,3801
Spanish Journal of Finance and Accounting,B,Taylor & Francis Online,0210-2412,2332-0753,2001,3501
Spanish Journal of Marketing – ESIC,B,Emerald Group Publishing,2444-9709,2444-9709,1916,3506
Spanish Review of Financial Economics,C,AEFIN,2173-1268,,,3502
Spatial Economic Analysis,B,Taylor & Francis Online,1742-1772,1742-1780,2006,3801
Sport in Society,B,Taylor & Francis Online,1743-0437,1743-0445,1998,3504
Sport Management Education Journal,C,"Human Kinetics Publishers, Inc.",1938-6974,2163-2367,,3504
Sport Management Review,A,Elsevier,1441-3523,1839-2083,1998,3504
Sport Marketing Quarterly,B,"Fitness Information Technology, Inc.",1061-6934,1557-2528,1992,3506
Sport Psychologist,B,"Human Kinetics Publishers, Inc.",0888-4781,1543-2793,1987,3504
"Sport, Business and Management",C,Emerald Group Publishing Limited,2042-678X,2042-6798,2011,3504
"Sport, Education and Society",B,Taylor & Francis Online,1357-3322,1470-1243,1996,3504
Sporting Traditions,C,Australian Society for Sports History Publications,0813-2577,,1984,3504
Sri Lanka Economic Journal,C,"Sri Lanka Economic Association (SLEA), Colombo",1391-5894,,1986,3801
Sri Lankan Journal of Agricultural Economics,C,Sri Lanka Agricultural Economics Association,1391-7358,,1993,3801
Stanford Journal of International Law,A,Stanford University Press,0731-5082,,1966,4801
"Stanford Journal of Law, Business and Finance",A,Stanford University Press,1078-8794,,1994,4801
Stanford Social Innovation Review,B,Stanford Center on Philanthropy and Civil Society,1542-7009,,2003,3507
Statistica Neerlandica,A,Wiley-Blackwell Publishing,0039-0402,1467-9574,1946,4905
Statistica Sinica,A,Statistica Sinica,1017-0405,,1991,4905
Statistical Inference for Stochastic Processes,C,Springer International Publishing,1387-0874,1572-9311,1998,4905
Statistical Journal of the International Association for Official Statistics,C,IOS Press,1874-7655,1875-9254,1984,4905
Statistical Methodology,C,Elsevier,1572-3127,,2004,4905
Statistical Methods and Applications,C,Springer International Publishing,1618-2510,1613-981X,1992,4905
Statistical Methods In Medical Research,B,Sage Publications,0962-2802,1477-0334,1992,4905
Statistical Modelling,B,Sage Publications,1471-082X,1477-0342,2001,4905
Statistical Papers,B,Springer International Publishing,0932-5026,1613-9798,1960,4905
Statistical Science,A,Institute of Mathematical Statistics,0883-4237,,1986,4905
Statistics & Risk Modeling,C,De Gruyter,2196-7040,,1982,4905
Statistics and Computing,A,Springer International Publishing,0960-3174,1573-1375,1991,4905
Statistics & Probability Letters,B,Elsevier,0167-7152,1879-2103,1982,4905
Statistics Education Research Journal,B,International Association for Statistical Education,1570-1824,,2002,4905
Statistics in Medicine,A,Wiley-Blackwell Publishing,0277-6715,1097-0258,1982,4905
Statistics,B,Taylor & Francis Online,0233-1888,1029-4910,1985,4905
Statute Law Review,A,Oxford University Press,0144-3593,1464-3863,1980,4801
Stochastic Analysis and Applications,B,Taylor & Francis Online,0736-2994,1532-9356,1983,4905
Stochastic Environmental Research and Risk Assessment,B,Springer International Publishing,1436-3240,1436-3259,1987,4905
Stochastic Models,B,Taylor & Francis Online,1532-6349,1532-4214,2001,4905
Stochastic Processes and their Applications,A,Elsevier,0304-4149,1879-209X,1973,4905
Stochastics: an international journal of probability and stochastic processes,B,Taylor & Francis Online,1744-2508,1744-2516,1973,4905
Strategic Change: Briefings in Entrepreurial Finance,C,Wiley-Blackwell Publishing,1099-1697,,1992,3502
Strategic Entrepreneurship Journal,A,Wiley-Blackwell Publishing,1932-4391,1932-443X,2007,3507
Strategic Management Journal,A*,Wiley-Blackwell Publishing,0143-2095,1097-0266,1980,3507
Strategic Organization,A,Sage Publications,1476-1270,1741-315X,2003,3507
Strategy & Leadership,C,Emerald Group Publishing,1087-8572,1758-9568,1996,3507
Strategy Science,A,INFORMS,2333-2050,2333-2077,2003,3507
Stress and Health,A,Wiley-Blackwell Publishing,1532-3005,1532-2998,1985,3507
Structural Change and Economic Dynamics,B,Elsevier,0954-349X,1873-6017,1990,3801
Structural Equation Modelling: A Multidisciplinary Journal,A,Taylor & Francis Online,1070-5511,1532-8007,1994,3507
Studi Economici e Sociali: rivista di vita economica,C,Centro Studi G. Toniolo,0391-8750,,1966,3801
Studies in Agricultural Economics,C,Research Institute of Agricultural Economics and the Hungarian Academy of Sciences,1418-2106,2063-0476,1962,3899
Studies in Business and Economics,C,Sciendo,1842-4120,2344-5416,2006,3801
Studies in Comparative International Development,A,Springer International Publishing,0039-3606,1936-6167,1965,3599
Studies in Economics and Finance,B,Emerald Group Publishing,1086-7376,1755-6791,1977,3801
Studies in Higher Education,A,Taylor & Francis Online,0307-5079,1470-174X,1976,3505
Studies in Microeconomics,C,Sage Publications,2321-0222,2321-8398,2013,3803
Studies in Nonlinear Dynamics & Econometrics,A,De Gruyter,1081-1826,1558-3708,1996,3802
Studies in Political Economy: a socialist review,C,Taylor & Francis Online,0707-8552,,1979,3801
Suffolk University Law Review,B,Suffolk University Law School,0039-4696,,1967,4801
Supply Chain Management Review,B,Peerless Media,1521-9747,,2000,3509
Supply Chain Management: an international journal,A,Emerald Group Publishing,1359-8546,1758-6852,1996,3509
Survival,B,Taylor & Francis Online,0039-6338,1468-2699,1959,3599
"Sustainability Accounting, Management and Policy Journal",B,,2040-8021,,2010,3501
Sustainable Development,C,Wiley-Blackwell Publishing,,1099-1719,1993,3899
Swedish Economic Policy Review,C,The Economic Council of Sweden,1400-1829,,1989,3801
Syracuse Journal of International Law and Commerce,C,Syracuse University,0093-0709,,1972,4801
System Dynamics Review,A,Wiley-Blackwell Publishing,,1099-1727,1975,3503
Systemic Practice and Action Research,B,Springer International Publishing,1094-429X,1573-9295,1988,3503
Systems Research and Behavioral Science,A,Wiley-Blackwell Publishing,1092-7026,1099-1743,1984,3503
Tarsadalom es Gazdasag,C,Akademiai Kiado,1588-9734,1589-021X,1994,3801
Tax Law Review,A,New York University School of Law,0040-0041,,1945,4801
Tax Notes,C,"Tax Analysts and Advocates, Washington, D.C.",2688-6642,,1972,4801
Tax Policy Journal,C,"Tax & Super Australia, Taxpayers Research Foundation",1833-1726,,2005,4801
Tax Specialist,B,Tax Institute,1329-1203,,1997,4801
Taxation in Australia,C,Tax Institute,0494-8343,,1963,4801
Teaching Business and Economics,C,Economics and Business Education Association,1367-3289,,1949,3801
Team Performance Management,C,Emerald Group Publishing,1352-7592,1758-6860,1995,3507
Technological Forecasting and Social Change,A,Elsevier,0040-1625,1873-5509,1969,3503
Technology Analysis and Strategic Management,B,Taylor & Francis Online,0953-7325,1465-3990,1989,3507
Technology in Society,C,Elsevier,0160-791X,1879-3274,1979,4609
Technology Innovation Management Review,C,Talent First Network (Carleton University),,1927-0321,2007,3503
Technometrics,A,American Statistical Association,0040-1706,1537-2723,1959,3503
Technovation,A,Elsevier,0166-4972,1879-2383,1981,3507
Telematics and Informatics,C,Elsevier,0736-5853,1879-324X,1984,4609
Teoros: revue de recherche en tourisme,C,"ESG UQAM, Belgrade",0712-8657,,1982,3508
Texas International Law Journal,A,University of Texas School of Law,0163-7479,,1965,4801
The Accounting Review,A*,American Accounting Association,0001-4826,1558-7967,1926,3501
The Adam Smith Review,B,The International Adam Smith Society,1743-5285,,2004,3899
The American Economic Review,A*,American Economic Association,0002-8282,0065-812X,1911,3801
The American Sociologist,B,Springer International Publishing,0003-1232,1936-4784,1969,3599
The American Statistician (AMSTAT),B,Taylor & Francis Online,0003-1305,1537-2731,,4905
"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",B,Springer International Publishing,0570-1864,1432-0592,1967,3801
The Australian Economic Review,B,Wiley-Blackwell Publishing,0004-9018,1467-8462,1968,3801
The Australian Journal of Agricultural and Resource Economics,A,Wiley-Blackwell Publishing,1364-985X,1467-8489,1997,3801
The Baltic Journal of Road and Bridge Engineering,C,Vilnius Gediminas Technical University,1822-427X,1822-4288,2006,3509
The BE Journal of Economic Analysis and Policy,A,De Gruyter,1935-1682,1555-0494,2001,3803
The BE Journal of Macroeconomics,A,De Gruyter,1935-1690,,2007,3803
The BE Journal of Theoretical Economics,A,De Gruyter,1935-1704,,2001,3803
"The Brooklyn Journal of Corporate, Financial and Commercial Law",C,Brooklyn Law School,1934-2497,,2006,4801
The Business Lawyer,A,American Bar Association,0007-6899,,1946,4801
The China Review: an interdisciplinary journal on greater China,C,Chinese University of Hong Kong Press,1680-2012,1015-6607,1990,3599
The Chinese Economy: translation and studies,B,Taylor & Francis Online,1097-1475,1558-0954,1967,3801
The Computer Journal,C,Oxford University Press,0010-4620,1460-2067,,4609
The Consortium Journal of Hospitality and Tourism,C,Tuskegee University,1535-0568,,2005,3508
The Corporate Governance Law Review,C,Corporate Research Group,1449-9029,,2005,4801
The Economic and Labour Relations Review,B,Sage Publications,1035-3046,,1990,3801
The Economic History Review: a journal of economic and social history,A,Wiley-Blackwell Publishing,0013-0117,1468-0289,1927,3801
The Economic Journal,A*,Wiley-Blackwell Publishing,0013-0133,1468-0297,1891,3801
The Economic Record,A,Wiley-Blackwell Publishing,0013-0249,1475-4932,1925,3801
The Economics of Transition,A,Wiley-Blackwell Publishing,0967-0750,1468-0351,1993,3801
The Electronic Journal of Statistics,A,The Institute of Mathematical Statistics and the Bernoulli Society,1935-7524,,,4905
The Electronic Library,B,Emerald Group Publishing Limited,0264-0473,1768-616X,,4609
The European Accounting Review,A*,Taylor & Francis Online,0963-8180,1468-4497,1992,3501
The European Journal of Finance,A,Taylor & Francis Online,1351-847X,1466-4364,1995,3502
The Florida Tax Review,A,University of Florida Press,1066-3487,,1992,4801
The Geneva Papers on Risk and Insurance - Issues and Practice,B,Springer International Publishing,1018-5895,1468-0440,1973,3502
The Geneva Risk and Insurance Review,B,Springer International Publishing,1554-964X,1554-9658,1976,3502
The Independent Review: a journal of political economy,C,Independent Institute,1086-1653,,1996,3801
